Question,Answer
Ki vezette a császári seregeket a zentai csatában?,Savoyai Jenő
Melyik évben történt a nagyszombati vérengzés?,1670
Ki volt a kurucok leghíresebb alakja?,Rákóczi Ferenc
Melyik évben történt a majtényi sík mezején a fegyverletétel?,1711
Ki volt a reformkor egyik legjelentősebb alakja a politikában?,Kossuth Lajos
Melyik évben alapította meg Széchenyi a Magyar Tudományos Akadémiát?,1825
Melyik volt az első állandó híd Pest és Buda között?,Lánchíd
Ki tervezte a Lánchidat?,William Tierney Clark
Melyik évben adták át a Lánchidat?,1849
Melyik évben tört ki a pesti árvíz?,1838
Ki mentette meg Pestet az árvíztől?,Báró Wesselényi Miklós
Melyik évben volt a jobbágyfelszabadítás?,1848
Ki volt a jobbágyfelszabadítás egyik fő szorgalmazója?,Kossuth Lajos
Melyik évben mondta le V. Ferdinánd a trónról?,1848
Ki lett az új osztrák császár 1848-ban?,Ferenc József
Melyik évben adták ki az áprilisi törvényeket?,1848
Ki szignálta az áprilisi törvényeket?,V. Ferdinánd
Melyik évben tört ki a tavaszi hadjárat?,1849
Ki vezette a magyar seregeket a tavaszi hadjáratban?,Görgei Artúr
Melyik csatában győztek a magyarok 1849 áprilisában?,Isaszeg
Melyik vár kapitulált 1849-ben az osztrákok előtt?,Komárom
Melyik tábornok árulta el a magyarokat a szabadságharc végén?,Görgei Artúr
Melyik városban végezték ki Batthyány Lajost?,Pest
Melyik évben végezték ki Batthyány Lajost?,1849
Melyik évben született meg az osztrák-magyar kiegyezés?,1867
Ki volt az első közös osztrák-magyar pénzügyminiszter?,Lónyay Menyhért
Melyik évben foglalta el Bosznia-Hercegovinát az Osztrák-Magyar Monarchia?,1878
Melyik évben annektálta az Osztrák-Magyar Monarchia Bosznia-Hercegovinát?,1908
"Ki volt a Monarchia trónörököse, akit Szarajevóban gyilkoltak meg?",Ferenc Ferdinánd
Melyik évben gyilkolták meg Ferenc Ferdinándot?,1914
Ki követte el a szarajevói merényletet?,Gavrilo Princip
Melyik csatában szenvedett súlyos vereséget az Osztrák-Magyar Monarchia az első világháborúban?,Doberdó
Melyik évben lépett be az Amerikai Egyesült Államok az első világháborúba?,1917
Melyik évben kötött fegyverszünetet Magyarország az antanttal?,1918
Melyik évben mondott le Károlyi Mihály?,1919
Ki kiáltotta ki a Magyarországi Tanácsköztársaságot?,Kun Béla
Melyik évben volt a Tanácsköztársaság?,1919
Ki vezette a vörös hadsereget a Tanácsköztársaság idején?,Stromfeld Aurél
Melyik városig jutott el a vörös hadsereg az északi hadjárat során?,Kassa
Ki vezette a román hadsereget a Tanácsköztársaság elleni támadásban?,Gheorghe Mărdărescu
Melyik évben bukott meg a Tanácsköztársaság?,1919
Ki vezette a nemzeti hadsereget a Tanácsköztársaság bukása után?,Horthy Miklós
Melyik évben választották kormányzóvá Horthy Miklóst?,1920
Melyik évben történt a villámháború Jugoszlávia ellen?,1941
Ki volt a magyar ellenállási mozgalom egyik vezetője?,Bajcsy-Zsilinszky Endre
Melyik évben végezték ki Bajcsy-Zsilinszky Endrét?,1944
Melyik csatában próbált kitörni a szovjet ostromgyűrűből a német és magyar hadsereg?,Budai kitörés
Melyik évben volt a budai kitörés?,1945
Ki volt a szovjet hadsereg főparancsnoka a budapesti ostrom alatt?,Rodion Malinovszkij
Melyik híd maradt épségben a budapesti ostrom után?,Margit híd
Melyik évben alakult meg a Magyar Néphadsereg?,1945
Ki volt a Magyar Kommunista Párt főtitkára 1945-től?,Rákosi Mátyás
Melyik évben történt a Rajk-per?,1949
Kit végeztek ki a Rajk-perben?,Rajk László
Melyik évben hirdették ki a Magyar Népköztársaságot?,1949
Melyik évben történt a Nagy Imre-kormány bukása?,1956
Ki lett Nagy Imre után a miniszterelnök?,Kádár János
Melyik évben végezték ki Nagy Imrét?,1958
Melyik évben történt a prágai tavasz?,1968
Hogyan reagált Magyarország a prágai tavaszra?,Részt vett a leverésében
Melyik évben volt a lengyelországi Szolidaritás mozgalom kezdete?,1980
Melyik évben nyitották meg a nyugati határt a keletnémet menekültek előtt?,1989
Melyik évben vonultak ki a szovjet csapatok Magyarországról?,1991
Melyik évben lett Magyarország az OECD tagja?,1996
Melyik évben lett Magyarország a Visegrádi Csoport tagja?,1991
Melyik évben tartották a nagymarosi vízlépcső leállításáról szóló népszavazást?,1992
Melyik évben lett Magyarország az ENSZ Biztonsági Tanácsának nem állandó tagja?,1992-1993
Melyik évben volt a bozótvárosi olajszivárgás?,1992
Melyik évben lett Mádl Ferenc Magyarország köztársasági elnöke?,2000
Melyik évben történt a 2006-os őszi zavargások?,2006
Melyik évben adták át a 4-es metrót Budapesten?,2014
Melyik évben rendezték a vizes világbajnokságot Budapesten?,2017
Melyik évben volt a Hableány sétahajó tragédiája?,2019
