Question,Answer
Ki írta a 'A kisasszonyok' című regényt?,Louisa May Alcott
"Melyik regényben szerepel a híres 'Robinson Crusoe' hajótörött?",Robinson Crusoe
Ki írta a 'A suszter manói' című mesét?,Jacob és Wilhelm Grimm
Melyik híres regény játszódik az orosz forradalom idején?,Zhivago doktor
Ki írta a 'A hiúság vására' című regényt?,William Makepeace Thackeray
"Melyik regényben szerepel a híres 'Oliver Twist' árvafiú?",Oliver Twist
Ki írta a 'A windsori víg nők' című komédiát?,William Shakespeare
"Melyik híres regény szól egy fiatal lányról, aki egy titokzatos kastélyba kerül?",Rebecca
Ki írta a 'A per' című regényt?,Franz Kafka
"Melyik regényben szerepel a híres 'Gulliver' hajós?",Gulliver utazásai
Ki írta a 'A trilógia' című történelmi regényciklust?,Henryk Sienkiewicz
"Melyik híres regény szól egy fiatal lányról, aki egy árvaházban él?",Árvák hercege
Ki írta a 'A kincses sziget' című kalandregényt?,Robert Louis Stevenson
"Melyik regényben szerepel a híres 'Dorian Gray' festmény?",Dorian Gray arcképe
Ki írta a 'A messzi otthon' című regényt?,Thomas Hardy
"Melyik híres regény szól egy fiatal lányról, aki egy vidéki birtokon él?",Emma
"Ki írta a 'A kutya különös esete az éjszakában' című regényt?",Mark Haddon
"Melyik regényben szerepel a híres 'Jay Gatsby' rejtélyes milliomos?",A nagy Gatsby
Ki írta a 'A Da Vinci-kód' című krimit?,Dan Brown
"Melyik híres regény szól egy fiatal lányról, aki egy bentlakásos iskolába kerül?",A kis hercegnő
Ki írta a 'A tűz és jég dala' című fantasy regényciklust?,George R.R. Martin
"Melyik regényben szerepel a híres 'Katniss Everdeen' harcos?",Az éhezők viadala
Ki írta a 'A víz gyermekei' című tündérmesét?,Charles Kingsley
"Melyik híres regény szól egy fiatal lányról, aki egy titkos kertet fedez fel?",A titkos kert
Ki írta a 'A jó föld' című regényt?,Pearl S. Buck
"Melyik regényben szerepel a híres 'Scarlett O'Hara' karakter?",Elfújta a szél
Ki írta a 'A Monte Cristo grófja' című kalandregényt?,Alexandre Dumas
"Melyik híres regény szól egy fiatal fiúról, aki egy lakatlan szigeten él?",A korallzátony lakói
Ki írta a 'A múmia' című regényt?,Théophile Gautier
"Melyik regényben szerepel a híres 'Phileas Fogg' világutazó?",80 nap alatt a Föld körül
Ki írta a 'A fekete tulipán' című történelmi regényt?,Alexandre Dumas
"Melyik híres regény szól egy fiatal lányról, aki egy titokzatos örökséget kap?",A kis lord
Ki írta a 'A Notre-Dame-i toronyőr' című regényt?,Victor Hugo
"Melyik regényben szerepel a híres 'Quasimodo' toronyőr?",A Notre-Dame-i toronyőr
Ki írta a 'A három testőr' című kalandregényt?,Alexandre Dumas
"Melyik híres regény szól egy fiatal fiúról, aki egy kalózhajóra kerül?",A kincses sziget
Ki írta a 'A rejtelmes sziget' című regényt?,Jules Verne
"Melyik regényben szerepel a híres 'Nemo kapitány' karakter?",Húszezer mérföld a tenger alatt
Ki írta a 'A harag szőlője' című regényt?,John Steinbeck
"Melyik híres regény szól egy család meneküléséről az 1930-as évek Amerikájában?",A harag szőlője
Ki írta a 'A nap, amely elpusztította a világot' című sci-fi novellát?,Isaac Asimov
"Melyik regényben szerepel a híres 'Othello' karakter?",Othello
Ki írta a 'A vihar' című színdarabot?,William Shakespeare
"Melyik híres regény szól egy fiatal lányról, aki egy szigorú bentlakásos iskolába kerül?",A kis hercegnő
Ki írta a 'A padlás' című ifjúsági regényt?,Cornelia Funke
"Melyik regényben szerepel a híres 'Momo' nevű kislány?",Momo
Ki írta a 'A végtelen történet' című fantasy regényt?,Michael Ende
"Melyik híres regény szól egy fiatal fiúról, aki egy varázslatos könyv segítségével egy másik világba kerül?",A végtelen történet
