"Kérdés","Válasz"
"Melyik könyv meséli el az apostolok cselekedeteit az első egyházban?","Apostolok Cselekedetei"
"Melyik levélben ír Pál a szeretetről, mint a legfontosabb ajándékról?","1. Korinthusbeliekhez írt levél (13. fejezet)"
"Melyik evangélium kezdődik azzal, hogy „Kezdetben volt az Ige”?","János evangéliuma"
"Melyik evangéliumot írta egy orvos?","Lukács evangéliuma"
"Melyik evangélium a legrövidebb?","Márk evangéliuma"
"Melyik evangélium tartalmazza a Hegyi beszédet?","Máté evangéliuma"
"Mi a Biblia legutolsó könyvének címe?","Jelenések könyve"
"Ki írta a Jelenések könyvét?","János apostol"
"Melyik az a két parancsolat, amit Jézus a legnagyobb parancsolatoknak nevezett?","Szeresd az Urat, a te Istenedet teljes szívedből, teljes lelkedből és teljes elmédből; és szeresd felebarátodat, mint magadat"
"Melyik az a mondat, amit Jézus mondott a kereszten a katonákról?","Atyám, bocsáss meg nekik, mert nem tudják, mit cselekszenek"
"Melyik az a mondat, amit Jézus mondott Tamásnak, miután feltámadt?","Boldogok, akik nem látnak, és hisznek"
"Mi a neve annak a helynek, ahol Jézus imádkozott elfogatása előtt?","Gecsemáné kert"
"Ki volt az a tanítvány, aki kételkedett Jézus feltámadásában, amíg nem látta a sebeit?","Tamás"
"Melyik városban volt a zsinagóga, ahol Jézus először tanított nyilvánosan?","Názáret (gyermekkora városa)"
"Melyik csodát tette Jézus, amikor meggyógyított egy bénát, akit négyen hoztak elé?","A béna meggyógyítása Kapernaumban"
"Mi volt a neve annak a vámosnak, aki felmászott egy fügefára, hogy lássa Jézust?","Zákeus"
"Mi volt az a jel, amivel Júdás elárulta Jézust?","Csók"
"Melyik tanítvány vágta le a főpap szolgájának fülét?","Péter"
"Ki volt az a római százados, aki Jézus halála után azt mondta: „Ez az ember valóban Isten Fia volt”?","A százados (Lukács 23:47)"
"Melyik városban volt Pál apostol bebörtönözve, mielőtt Rómába vitték?","Cézárea"
"Melyik hajóút során szenvedett Pál hajótörést?","Málta felé vezető út"
"Melyik az a könyv, amely a „szeretet himnuszát” tartalmazza?","1. Korinthusbeliekhez írt levél (13. fejezet)"
"Mi volt a neve annak a fiatalembernek, akit Pál feltámasztott a halálból?","Eutikhusz"
"Melyik városban alapították az első keresztény gyülekezetet?","Jeruzsálem"
"Melyik az a hely, ahol Jézus a tanítványaitól elvált, mielőtt felemelkedett?","Olajfák hegye"
"Melyik az a példázat, amit Jézus a tíz talentumról mondott?","A talentumok példázata"
"Melyik az a példázat, amit Jézus a mustármagról mondott?","A mustármag példázata"
"Melyik az a példázat, amit Jézus a kovászról mondott?","A kovász példázata"
"Melyik az a példázat, amit Jézus az elveszett bárányról mondott?","Az elveszett bárány példázata"
"Melyik az a példázat, amit Jézus az elveszett drachmáról mondott?","Az elveszett drachma példázata"
"Melyik az a példázat, amit Jézus a farizeusról és a vámosról mondott?","A farizeus és a vámos példázata"
"Melyik az a példázat, amit Jézus a gazdag emberről és Lázárról mondott?","A gazdag ember és Lázár példázata"
"Melyik az a példázat, amit Jézus a hálátlan szolgáról mondott?","A hálátlan szolga példázata"
"Melyik az a példázat, amit Jézus a szőlőmunkásokról mondott?","A szőlőmunkások példázata"
"Melyik az a példázat, amit Jézus a gonosz szőlőmunkásokról mondott?","A gonosz szőlőmunkások példázata"
"Melyik az a példázat, amit Jézus a királyi menyegzőről mondott?","A királyi menyegző példázata"
"Melyik az a példázat, amit Jézus a tíz szűzről mondott?","A tíz szűz példázata"
"Melyik az a példázat, amit Jézus a talentumokról mondott?","A talentumok példázata"
"Melyik az a példázat, amit Jézus a juhokról és a kecskékről mondott?","A juhok és a kecskék példázata"
"Melyik az a könyv, amely a keresztény hit alapvető tanításait foglalja össze?","Apostolok Cselekedetei"
"Melyik az a könyv, amely a hitről és a cselekedetekről szól?","Jakab levele"
"Melyik az a könyv, amely a szeretet fontosságát hangsúlyozza?","1. János levele"
"Melyik az a könyv, amely a végidőkről és a próféciákról szól?","Jelenések könyve"
"Melyik az a könyv, amely a keresztény szabadságról szól?","Galatákhoz írt levél"
"Melyik az a könyv, amely a Krisztusban való élet öröméről szól?","Filippiekhez írt levél"
"Melyik az a könyv, amely a Krisztus testéről, az egyházról szól?","Efézusbeliekhez írt levél"
"Melyik az a könyv, amely a Krisztus felsőbbségéről szól?","Kolosséiakhoz írt levél"
"Melyik az a könyv, amely a második eljövetelről szól?","1. Thesszalonikaiakhoz írt levél"
"Melyik az a könyv, amely a lelkipásztori szolgálatról szól?","1. Timóteusnak írt levél"
"Melyik az a könyv, amely a jó harcról és a hit megtartásáról szól?","2. Timóteusnak írt levél"
"Melyik az a könyv, amely a gyülekezeti rendről szól?","Titusznak írt levél"
"Melyik az a könyv, amely a rabszolgaságról és a megbocsátásról szól?","Filemonnak írt levél"
"Melyik az a könyv, amely Jézus Krisztus papi szolgálatáról szól?","Zsidókhoz írt levél"
"Melyik az a könyv, amely a keresztény reménységről szól?","1. Péter levele"
"Melyik az a könyv, amely a hamis tanítókról figyelmeztet?","2. Péter levele"
"Melyik az a könyv, amely a testvéri szeretetről szól?","2. János levele"
"Melyik az a könyv, amely az igazságról és a vendéglátásról szól?","3. János levele"
"Melyik az a könyv, amely a hamis tanítókról és az ítéletről szól?","Júdás levele"
"Melyik az a könyv, amely a világ teremtésével kezdődik?","Teremtés könyve"
"Melyik az a könyv, amely az izraeliták Egyiptomból való kivonulását meséli el?","Kivonulás könyve"
"Melyik az a könyv, amely a törvényeket és a szentély építését részletezi?","Leviták könyve"
"Melyik az a könyv, amely az izraeliták pusztai vándorlását írja le?","Számok könyve"
"Melyik az a könyv, amely Mózes utolsó beszédeit tartalmazza?","Második Törvénykönyv"
"Melyik az a könyv, amely az Ígéret Földjének meghódítását meséli el?","Józsué könyve"
"Melyik az a könyv, amely Izrael bíráinak történeteit tartalmazza?","Bírák könyve"
"Melyik az a könyv, amely egy moábita asszony hűségéről szól?","Ruth könyve"
"Melyik az a könyv, amely Izrael első királyának történetét meséli el?","1. Sámuel könyve"
"Melyik az a könyv, amely Dávid király uralkodását írja le?","2. Sámuel könyve"
